timestamp,prompt_name,old_text,new_text
2026-09-20T17:10:03.961701,narratorUserPrompt,Show the player in.,C:\temp\notes
2026-09-20T17:10:03.966315,narratorUserPrompt,C:\temp\notes,Show the player in.
2026-09-20T17:10:03.970248,narratorUserPrompt,Show the player in.,tab	here
2026-09-20T17:10:03.974294,narratorUserPrompt,tab	here,Show the player in.
2026-09-20T17:10:03.978377,narratorUserPrompt,Show the player in.,trailing backslash\
2026-09-20T17:10:03.984378,narratorUserPrompt,trailing backslash\,Show the player in.
2026-09-20T17:10:03.988943,narratorUserPrompt,Show the player in.,a\b
2026-09-20T17:10:03.993317,narratorUserPrompt,a\b,Show the player in.
2026-09-20T17:10:03.999793,narratorUserPrompt,Show the player in.,SENTINEL — text
2026-09-20T17:10:04.003734,narratorUserPrompt,SENTINEL — text,Show the player in.
2026-09-20T17:10:04.007983,adressingSystemPromptContext,This is the latest dialogue between the characters for context:,SENTINEL — text
2026-09-20T17:10:04.012084,adressingSystemPromptContext,SENTINEL — text,This is the latest dialogue between the characters for context:
2026-09-20T17:10:04.016887,characterFullUserPrompt,"Write a complete character for the room. The character is dead. They have just arrived.

Write in the second person — ""you,"" not ""she/he/they."" The character is reading their own interior knowledge. Every field is part of what they know about themselves, even the things they will not admit.

Name every person from your own life every time you mention them, in every field. Once you have given somebody a name, use that name again — never he, she, him, her, they or them — even where it repeats and even where it reads a little stiffly. This matters because you will be speaking from these facts while sitting in a room with two other people, and a pronoun about somebody absent will be heard as pointing at somebody present.

The two people in that room are the exception. You have never met them and do not know their names, so ""they"" and ""them"" are the correct words for them. The last field is about those two and cannot be written any other way.

Inputs (do not change these):
- Age: {AGE}
- Gender: {GENDER}
- Naming tradition: {NAME_ORIGIN}

Write the fields below in the order given. Each is written knowing everything above it: a later field must be consistent with the facts already established and must never contradict them.

**Name**
A plausible contemporary first name and last name — two words — drawn from the {NAME_ORIGIN} naming tradition. This person is an ordinary contemporary person who happens to have that background. Do not write their origin into any other field unless it genuinely matters to the life.

**Occupation**
A recognizable contemporary job. Plain language. No invented institutions, no grand titles. One short phrase.

**Who you loved**
One specific person from your life — name them, and say what they were to you. Then one clause on what they themselves wanted — the thing they were after in their own life, which may have had nothing to do with you. Their want must make sense as something a real person in their position would actually want. A want that exists only to explain how you felt about them is not a want. Nothing in this field may describe anything that happened after your death.

This is the person your whole life bent around. Everything below will come back to them.

**Who you hated**
The same person. Not a second person — the one you just named, seen from the other side. What you could not forgive them for, and what it did to you to go on loving them anyway. If you find yourself introducing somebody new here, you have misunderstood: go back and write about the person above. Nothing in this field may describe anything that happened after your death.

**Cause of Death**
How you died. Contemporary, specific, plainly stated.

Your death must come out of a decision you made. It must not be an accident. The test is whether chance had to cooperate: if something outside your control had to go a particular way at a particular moment for you to die, then it is an accident, and it is wrong no matter how recklessly you were behaving at the time. Write a death that follows from the act itself, where nothing had to go wrong for it to kill you.

You did not intend to die. You did intend to do the thing that killed you, and you knew enough to know better.

Your death must also belong to the person named above. Someone reading the death and the relationship together must see why one led to the other. A death that could be lifted out and dropped into a stranger's life is the wrong death — rewrite it. One or two sentences.

**Life**
A single paragraph in the second person, no longer than 110 words. Facts only, the kind another person in the room could ask you about. No sensory writing, no atmosphere, no imagery, no metaphor — if a sentence is doing mood instead of delivering a fact, cut it and write the fact.

Choose the facts that matter for this particular life, and let the life decide which they are. Do not work through a standard set of topics in a standard order.

End the paragraph at the death you already wrote in Cause of Death — the same death, by the same means, in the same place. Not a different death, and not a different version of the same one. End on a fact, not on a summarising line or a closing sentence that tells the reader how to feel about what they just read. Do not describe arriving anywhere. Do not describe a room. Stop at the threshold.

**Reason for Damnation — True**
What you actually did that placed you here. It must center on how you treated — or were treated by — the person named above, the one you both loved and could not forgive. Not a third party who happens to be nearby, and not someone introduced here for the first time: the sin belongs to that relationship. A specific act toward that specific person, not an abstract professional or systemic failing on its own. Work can be the setting the act happened in, but the wound must be personal, not institutional.

Be concrete — the act, or the pattern of acts. Stated as you know it in your bones, with no softening. What you did was aimed at something. Write it so that what you were after is visible, and so that what you actually caused ran against it. One or two sentences.

**Reason for Damnation — Self-told**
The same fact, refracted through the story you prefer to tell yourself about it. It is recognizably a distortion of the True reason. Not a different story; the same story told differently. You usually live in this version. The distortion must be checkable against the facts already written above. A reader holding both versions must be able to point to the exact fact it bends. If nothing established contradicts it, it is not a distortion — rewrite it. One or two sentences.

**What you refuse to admit about yourself**
The deeper psychological fact under the sin. Not what you did, but what you are. The thing that, if named aloud in the room, would unmake you.

State it flatly, in the same plain register as every other field. No imagery, no metaphor, no rhetorical cadence, no piling up of clauses for effect — this is a fact about a person, written the way a fact is written. It must be reasoned, not merely felt: someone else in the room, holding only the facts already written above, could work their way to it. And it must go underneath the act rather than restate it — if it could be swapped with the True reason without anyone noticing, it is not the refusal. One or two sentences.

**Defining personality trait**
One short phrase — two or three words, plain ones — naming the dominant thing others would notice in you. Write the words only: no asterisks, no quotation marks, no emphasis of any kind around them.

It must be demonstrated by what is already written above. Something in the life, the death, or the sin has to show this quality in action; if nothing there would make a reader arrive at it, it is the wrong trait, and you should write the one the facts actually support. A trait nothing demonstrates is a label, not a person.

It may be a contradiction, but only a reliable one, with the facts above showing both halves of it. A contradiction that appears once is not a trait.

**What you want from the others in the room**
Your starting drive. What you are hoping these strangers will give you. It must be a strategy for protecting what you refuse to admit — the thing you are doing to keep it buried, not a wish unconnected to it.

Write it as something you are doing to them, not as a confession. Do not end by naming the thing you are avoiding: the reader already has that field, and stating it again here turns a drive into a summary. Name the behaviour and stop. One or two sentences.

Use this format exactly, with every heading present, spelled as written, and in this order:

**Name**
[your text]

**Occupation**
[your text]

**Who you loved**
[the one person, named]

**Who you hated**
[the same person — what you could not forgive]

**Cause of Death**
[your text]

**Life**
[prose paragraph]

**Reason for Damnation — True**
[your text]

**Reason for Damnation — Self-told**
[your text]

**What you refuse to admit about yourself**
[your text]

**Defining personality trait**
[your text]

**What you want from the others in the room**
[your text]

Begin now.",SENTINEL — text
